YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,11298,30194,"Dallas/Fort Worth, TX",TX,1936,-4,14,3,2035,-21,0,0,102,731,,,,,
2020,6,1,1,6/1/2020,DL,12266,31453,"Houston, TX",TX,10397,30397,"Atlanta, GA",GA,1129,-1,12,6,1417,-7,0,0,90,689,,,,,
2020,6,1,1,6/1/2020,DL,14747,30559,"Seattle, WA",WA,12478,31703,"New York, NY",NY,1120,0,12,11,1926,-29,0,0,283,2422,,,,,
2020,6,1,1,6/1/2020,DL,13487,31650,"Minneapolis, MN",MN,11697,32467,"Fort Lauderdale, FL",FL,930,5,12,3,1345,-16,0,0,180,1487,,,,,
2020,6,1,1,6/1/2020,DL,12173,32134,"Honolulu, HI",HI,12892,32575,"Los Angeles, CA",CA,800,0,21,5,1637,12,0,0,311,2556,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,14747,30559,"Seattle, WA",WA,827,-3,13,7,1024,-18,0,0,277,2182,,,,,
2020,6,1,1,6/1/2020,DL,11292,30325,"Denver, CO",CO,14869,34614,"Salt Lake City, UT",UT,1719,-6,11,4,1835,-16,0,0,61,391,,,,,
2020,6,1,1,6/1/2020,DL,12441,32441,"Jackson, WY",WY,14869,34614,"Salt Lake City, UT",UT,1317,-13,9,3,1405,-16,0,0,36,205,,,,,
2020,6,1,1,6/1/2020,DL,14869,34614,"Salt Lake City, UT",UT,12441,32441,"Jackson, WY",WY,1104,-11,15,3,1200,-9,0,0,38,205,,,,,
2020,6,1,1,6/1/2020,DL,12264,30852,"Washington, DC",VA,11433,31295,"Detroit, MI",MI,947,-8,10,6,1106,-11,0,0,63,383,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,12892,32575,"Los Angeles, CA",CA,2031,26,12,7,2147,2,0,0,237,1947,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,15016,31123,"St. Louis, MO",MO,1529,-1,11,4,1601,1,0,0,77,484,,,,,
2020,6,1,1,6/1/2020,DL,15016,31123,"St. Louis, MO",MO,10397,30397,"Atlanta, GA",GA,1654,-6,10,28,1935,9,0,0,63,484,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,12264,30852,"Washington, DC",VA,819,-1,10,5,951,-2,0,0,77,534,,,,,
2020,6,1,1,6/1/2020,DL,12953,31703,"New York, NY",NY,10397,30397,"Atlanta, GA",GA,1818,-2,9,6,2019,-33,0,0,106,762,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,14730,33044,"Louisville, KY",KY,1000,-5,13,5,1117,1,0,0,59,321,,,,,
2020,6,1,1,6/1/2020,DL,14730,33044,"Louisville, KY",KY,10397,30397,"Atlanta, GA",GA,1241,-4,9,6,1349,-19,0,0,53,321,,,,,
2020,6,1,1,6/1/2020,DL,12892,32575,"Los Angeles, CA",CA,14771,32457,"San Francisco, CA",CA,1344,-1,9,4,1445,-20,0,0,48,337,,,,,
2020,6,1,1,6/1/2020,DL,14771,32457,"San Francisco, CA",CA,12892,32575,"Los Angeles, CA",CA,1653,-7,9,3,1804,-21,0,0,59,337,,,,,
2020,6,1,1,6/1/2020,DL,11433,31295,"Detroit, MI",MI,10397,30397,"Atlanta, GA",GA,1818,8,11,6,2000,-7,0,0,85,594,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,11618,31703,"Newark, NJ",NJ,854,-1,9,5,1049,-6,0,0,101,746,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,14843,34819,"San Juan, PR",PR,1011,6,21,5,1332,1,0,0,175,1547,,,,,
2020,6,1,1,6/1/2020,DL,14843,34819,"San Juan, PR",PR,10397,30397,"Atlanta, GA",GA,1431,-4,11,4,1815,-8,0,0,209,1547,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,14193,33728,"Pensacola, FL",FL,1003,-2,13,4,1007,-5,0,0,47,271,,,,,
2020,6,1,1,6/1/2020,DL,14193,33728,"Pensacola, FL",FL,10397,30397,"Atlanta, GA",GA,1123,-7,13,4,1326,-13,0,0,46,271,,,,,
2020,6,1,1,6/1/2020,DL,12892,32575,"Los Angeles, CA",CA,11292,30325,"Denver, CO",CO,1042,-3,21,9,1408,12,0,0,116,862,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,14122,30198,"Pittsburgh, PA",PA,1130,-5,10,5,1300,-1,0,0,75,526,,,,,
2020,6,1,1,6/1/2020,DL,14122,30198,"Pittsburgh, PA",PA,10397,30397,"Atlanta, GA",GA,1424,-6,9,6,1551,-23,0,0,72,526,,,,,
2020,6,1,1,6/1/2020,DL,11618,31703,"Newark, NJ",NJ,10397,30397,"Atlanta, GA",GA,1200,0,10,6,1400,-14,0,0,104,746,,,,,
2020,6,1,1,6/1/2020,DL,15304,33195,"Tampa, FL",FL,11433,31295,"Detroit, MI",MI,1424,-6,11,5,1651,-7,0,0,131,983,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,12451,31136,"Jacksonville, FL",FL,817,-3,13,3,917,-2,0,0,44,270,,,,,
2020,6,1,1,6/1/2020,DL,10397,30397,"Atlanta, GA",GA,14524,34524,"Richmond, VA",VA,1953,-2,15,9,2124,-2,0,0,67,481,,,,,
2020,6,1,1,6/1/2020,DL,10693,30693,"Nashville, TN",TN,10397,30397,"Atlanta, GA",GA,655,-5,11,6,848,-15,0,0,36,214,,,,,
2020,6,1,1,6/1/2020,DL,12451,31136,"Jacksonville, FL",FL,10397,30397,"Atlanta, GA",GA,722,-8,9,5,821,-14,0,0,45,270,,,,,
