node,route,delay,n_flights
ABQ,ABQ->MSP,<0 Delay (On-Time),2
ABQ,ABQ->MSP,< 15mins Delayed,0
ABQ,ABQ->MSP,15-60mins Delayed,0
ABQ,ABQ->MSP,More than 60m Delayed,0
MSP,ABQ->MSP,<0 Delay (On-Time),0
MSP,ABQ->MSP,< 15mins Delayed,0
MSP,ABQ->MSP,15-60mins Delayed,0
MSP,ABQ->MSP,More than 60m Delayed,0
ANC,ANC->MSP,<0 Delay (On-Time),243
ANC,ANC->MSP,< 15mins Delayed,52
ANC,ANC->MSP,15-60mins Delayed,19
ANC,ANC->MSP,More than 60m Delayed,9
MSP,ANC->MSP,<0 Delay (On-Time),0
MSP,ANC->MSP,< 15mins Delayed,0
MSP,ANC->MSP,15-60mins Delayed,0
MSP,ANC->MSP,More than 60m Delayed,0
ATL,ATL->MSP,<0 Delay (On-Time),2155
ATL,ATL->MSP,< 15mins Delayed,579
ATL,ATL->MSP,15-60mins Delayed,210
ATL,ATL->MSP,More than 60m Delayed,42
MSP,ATL->MSP,<0 Delay (On-Time),0
MSP,ATL->MSP,< 15mins Delayed,0
MSP,ATL->MSP,15-60mins Delayed,0
MSP,ATL->MSP,More than 60m Delayed,0
AUS,AUS->MSP,<0 Delay (On-Time),304
AUS,AUS->MSP,< 15mins Delayed,101
AUS,AUS->MSP,15-60mins Delayed,35
AUS,AUS->MSP,More than 60m Delayed,9
MSP,AUS->MSP,<0 Delay (On-Time),0
MSP,AUS->MSP,< 15mins Delayed,0
MSP,AUS->MSP,15-60mins Delayed,0
MSP,AUS->MSP,More than 60m Delayed,0
BDL,BDL->MSP,<0 Delay (On-Time),143
BDL,BDL->MSP,< 15mins Delayed,29
BDL,BDL->MSP,15-60mins Delayed,10
BDL,BDL->MSP,More than 60m Delayed,3
MSP,BDL->MSP,<0 Delay (On-Time),0
MSP,BDL->MSP,< 15mins Delayed,0
MSP,BDL->MSP,15-60mins Delayed,0
MSP,BDL->MSP,More than 60m Delayed,0
BIL,BIL->MSP,<0 Delay (On-Time),231
BIL,BIL->MSP,< 15mins Delayed,65
BIL,BIL->MSP,15-60mins Delayed,20
BIL,BIL->MSP,More than 60m Delayed,12
MSP,BIL->MSP,<0 Delay (On-Time),0
MSP,BIL->MSP,< 15mins Delayed,0
MSP,BIL->MSP,15-60mins Delayed,0
MSP,BIL->MSP,More than 60m Delayed,0
BIS,BIS->MSP,<0 Delay (On-Time),46
BIS,BIS->MSP,< 15mins Delayed,16
BIS,BIS->MSP,15-60mins Delayed,17
BIS,BIS->MSP,More than 60m Delayed,2
MSP,BIS->MSP,<0 Delay (On-Time),0
MSP,BIS->MSP,< 15mins Delayed,0
MSP,BIS->MSP,15-60mins Delayed,0
MSP,BIS->MSP,More than 60m Delayed,0
BNA,BNA->MSP,<0 Delay (On-Time),415
BNA,BNA->MSP,< 15mins Delayed,71
BNA,BNA->MSP,15-60mins Delayed,25
